es_hombre,es_adulto_mayor,tiene_pareja,tiene_dependientes,meses_contrato,tiene_telefono,tiene_varias_lineas,tipo_internet,seguridad_online,respaldo_online,proteccion_dispositivo,soporte_tecnico,tiene_tv,tiene_peliculas,tipo_contrato,factura_online,metodo_pago,cargo_mensual,cargo_total,id_cliente,abandono,cuentas_diarias
0,0,1,0,6,1,1,DSL,0,0,0,0,0,0,Mensual,0,Cheque_electrónico,50.35,314.55,0096-BXERS,0,1.68
1,0,0,0,30,1,1,DSL,1,0,0,0,0,1,Mensual,1,Cheque,64.5,1888.45,0096-FCPUF,0,2.15
1,0,0,0,27,1,0,No,0,0,0,0,0,0,Mensual,1,Cheque_electrónico,19.4,529.8,0098-BOWSO,0,0.65
1,1,1,0,70,1,1,Fiber optic,0,1,1,0,1,1,Anual_1,1,Cheque_electrónico,104.8,7308.95,0100-DUVFC,0,3.49
0,0,1,0,57,1,1,Fiber optic,0,1,1,1,1,1,Anual_1,1,Transferencia,109.4,6252.7,0103-CSITQ,0,3.65
1,0,1,0,58,1,0,DSL,0,0,1,0,0,0,Anual_1,0,Tarjeta,50.3,2878.55,0104-PPXDV,0,1.68
1,0,0,0,16,1,1,DSL,0,1,1,0,0,1,Mensual,1,Transferencia,71.4,1212.1,0106-GHRQR,0,2.38
0,0,1,0,69,1,1,Fiber optic,1,1,1,1,1,1,Anual_2,1,Cheque_electrónico,116.0,8182.85,0106-UGRDO,0,3.87
1,0,0,0,1,1,0,No,0,0,0,0,0,0,Mensual,1,Cheque_electrónico,19.85,19.85,0107-WESLM,1,0.66
1,0,0,1,1,1,1,Fiber optic,0,0,1,0,1,1,Mensual,1,Cheque_electrónico,99.75,99.75,0107-YHINA,1,3.32
1,1,1,1,32,1,0,Fiber optic,0,1,0,0,1,1,Mensual,1,Cheque,93.95,2861.45,0111-KLBQG,0,3.13
1,0,1,1,16,1,1,Fiber optic,0,0,1,0,1,0,Mensual,1,Transferencia,90.8,1442.2,0112-QAWRZ,0,3.03
1,0,1,0,49,1,1,DSL,1,0,1,1,1,1,Anual_1,0,Cheque_electrónico,84.35,4059.35,0112-QWPNC,1,2.81
0,0,1,0,71,0,0,DSL,0,1,1,1,1,1,Anual_2,0,Transferencia,58.25,4145.9,0114-IGABW,0,1.94
0,0,0,0,33,1,1,Fiber optic,0,1,1,0,1,1,Mensual,0,Cheque_electrónico,107.55,3645.5,0114-PEGZZ,0,3.58
0,0,1,0,10,1,0,No,0,0,0,0,0,0,Mensual,1,Transferencia,19.95,187.75,0114-RSRRW,0,0.66
1,0,1,0,21,1,1,Fiber optic,0,1,1,1,1,1,Mensual,1,Cheque_electrónico,111.2,2317.1,0115-TFERT,1,3.71
1,0,1,1,37,0,0,DSL,1,1,1,0,0,0,Mensual,0,Transferencia,40.2,1448.8,0117-LFRMW,1,1.34
0,1,0,0,26,1,0,Fiber optic,1,0,0,0,1,0,Mensual,1,Tarjeta,85.8,2193.65,0118-JPNOY,0,2.86
1,0,0,0,50,0,0,DSL,1,0,0,1,0,0,Anual_1,1,Cheque,35.4,1748.9,0121-SNYRK,0,1.18
0,0,0,0,7,1,1,Fiber optic,0,0,0,0,0,0,Mensual,1,Cheque_electrónico,73.85,511.25,0122-OAHPZ,1,2.46
0,0,1,1,61,1,1,DSL,1,1,1,1,1,1,Anual_2,0,Cheque,88.1,5526.75,0123-CRBRT,0,2.94
1,0,0,0,15,1,0,Fiber optic,0,0,1,1,1,1,Mensual,1,Cheque_electrónico,101.35,1553.95,0125-LZQXK,1,3.38
0,0,0,1,26,0,0,DSL,1,0,0,1,0,1,Mensual,0,Cheque,45.8,1147.0,0128-MKWSG,0,1.53
1,0,1,0,72,1,0,Fiber optic,0,0,1,0,1,1,Mensual,1,Cheque_electrónico,94.65,6747.35,0129-KPTWJ,0,3.16
1,0,1,1,44,1,0,No,0,0,0,0,0,0,Anual_1,1,Transferencia,20.5,865.05,0129-QMPDR,0,0.68
1,0,0,0,66,1,1,Fiber optic,0,1,0,0,0,1,Mensual,0,Tarjeta,89.4,5976.9,0130-SXOUN,0,2.98
0,0,0,0,2,1,0,Fiber optic,1,1,0,1,0,0,Mensual,1,Cheque_electrónico,86.25,181.65,0133-BMFZO,1,2.88
0,1,0,0,44,1,0,DSL,0,0,1,1,1,1,Anual_1,0,Transferencia,74.85,3268.05,0134-XWXCE,0,2.49
0,0,0,0,12,1,1,Fiber optic,0,1,0,0,1,0,Mensual,1,Transferencia,89.75,1052.4,0135-NMXAP,1,2.99
1,1,1,0,69,1,1,Fiber optic,0,1,1,1,1,1,Anual_2,1,Cheque_electrónico,109.95,7634.25,0136-IFMYD,0,3.66
0,0,0,0,1,1,1,Fiber optic,0,1,0,0,0,0,Mensual,1,Cheque,80.2,80.2,0137-OCGAB,1,2.67
0,0,0,0,3,1,0,No,0,0,0,0,0,0,Mensual,0,Cheque,19.85,63.75,0137-UDEUO,1,0.66
0,0,1,0,2,1,0,Fiber optic,1,1,0,0,1,0,Mensual,0,Cheque_electrónico,90.35,190.5,0139-IVFJG,0,3.01
0,1,0,0,27,1,1,Fiber optic,0,1,1,0,0,0,Mensual,1,Transferencia,86.45,2401.05,0141-YEAYS,0,2.88
1,0,0,0,26,1,0,No,0,0,0,0,0,0,Mensual,1,Cheque_electrónico,20.3,511.25,0142-GVYSN,0,0.68
0,1,1,0,39,1,1,Fiber optic,0,0,0,1,1,1,Mensual,1,Cheque_electrónico,101.25,3949.15,0147-ESWWR,0,3.38
1,0,0,0,25,1,1,Fiber optic,0,0,0,0,1,1,Mensual,1,Transferencia,94.7,2362.1,0148-DCDOS,1,3.16
0,0,0,0,1,1,0,Fiber optic,0,0,0,0,0,0,Mensual,0,Cheque,70.9,70.9,0151-ONTOV,1,2.36
1,0,1,0,22,1,0,DSL,1,0,0,1,0,0,Mensual,1,Cheque_electrónico,54.2,1152.7,0156-FVPTA,1,1.81
0,0,0,0,72,1,1,Fiber optic,1,1,1,1,1,1,Anual_2,1,Cheque_electrónico,114.9,8496.7,0164-APGRB,0,3.83
0,0,0,0,24,1,0,No,0,0,0,0,0,0,Anual_2,1,Transferencia,19.55,470.2,0164-XAIRP,0,0.65
0,0,1,0,19,1,1,Fiber optic,0,0,0,0,1,0,Mensual,1,Cheque_electrónico,86.85,1564.4,0168-XZKBB,0,2.9
1,0,1,1,71,1,1,No,0,0,0,0,0,0,Anual_2,0,Tarjeta,25.35,1847.55,0174-QRVVY,0,0.85
1,1,1,0,33,1,1,Fiber optic,1,0,1,1,1,1,Mensual,1,Transferencia,109.9,3694.7,0177-PXBAT,0,3.66
0,0,0,0,3,1,0,No,0,0,0,0,0,0,Mensual,0,Cheque,19.95,58.0,0178-CIIKR,0,0.66
1,0,1,1,47,1,1,Fiber optic,0,1,0,0,1,0,Mensual,0,Cheque_electrónico,87.2,4017.45,0178-SZBHO,0,2.91
1,0,1,1,62,1,0,Fiber optic,1,1,1,1,1,1,Anual_2,0,Cheque,108.15,6825.65,0181-RITDD,0,3.6
1,0,0,0,71,1,1,Fiber optic,1,1,1,1,1,1,Anual_1,1,Transferencia,116.3,8309.55,0186-CAERR,0,3.88
1,1,1,0,7,1,0,Fiber optic,0,0,0,0,1,1,Mensual,1,Cheque_electrónico,89.0,605.45,0187-QSXOE,0,2.97
0,0,1,1,27,1,0,Fiber optic,1,0,0,0,0,0,Mensual,0,Cheque,74.4,1972.35,0187-WZNAB,0,2.48
1,0,0,0,2,1,0,No,0,0,0,0,0,0,Mensual,0,Cheque,20.05,33.7,0188-GWFLE,0,0.67
0,0,0,1,25,0,0,DSL,1,0,0,1,0,0,Anual_2,0,Transferencia,35.05,844.45,0191-EQUUH,0,1.17
1,1,0,0,30,1,0,DSL,1,1,0,0,1,1,Mensual,1,Cheque_electrónico,74.75,2111.3,0191-ZHSKZ,0,2.49
0,1,1,0,58,1,0,Fiber optic,1,1,0,1,1,1,Anual_1,1,Tarjeta,105.5,6205.5,0193-ESZXP,1,3.52
1,0,1,0,10,1,1,Fiber optic,0,0,0,0,0,1,Mensual,1,Cheque_electrónico,85.25,855.3,0195-IESCP,1,2.84
0,0,0,0,9,1,1,Fiber optic,0,0,0,0,0,0,Mensual,1,Tarjeta,75.2,633.85,0196-JTUQI,0,2.51
0,1,1,0,6,1,1,Fiber optic,0,0,0,0,0,1,Mensual,1,Cheque_electrónico,84.35,474.9,0196-VULGZ,1,2.81
0,0,1,1,69,1,1,Fiber optic,1,0,1,0,0,0,Anual_1,0,Transferencia,84.45,5848.6,0197-PNKNK,0,2.82
0,1,0,0,66,1,1,Fiber optic,1,0,0,0,1,1,Anual_2,1,Transferencia,102.4,6471.85,0201-MIBOL,0,3.41
0,0,0,0,70,1,1,Fiber optic,1,1,1,1,1,1,Anual_1,0,Tarjeta,115.55,8127.6,0201-OAMXR,1,3.85
1,0,0,0,25,1,1,No,0,0,0,0,0,0,Anual_1,0,Transferencia,25.3,676.35,0203-HHYIJ,1,0.84
0,0,1,1,46,1,0,No,0,0,0,0,0,0,Anual_2,1,Cheque,19.25,864.2,0206-OYVOC,0,0.64
0,0,1,0,54,1,1,Fiber optic,1,1,1,1,1,1,Anual_1,1,Cheque,114.65,6049.5,0206-TBWLC,0,3.82
0,0,0,0,15,1,0,Fiber optic,1,0,1,1,1,1,Mensual,0,Cheque_electrónico,105.1,1582.75,0207-MDKNV,1,3.5
0,0,1,1,12,1,0,No,0,0,0,0,0,0,Mensual,0,Transferencia,19.4,198.1,0208-BPQEJ,0,0.65
0,0,0,0,22,0,0,DSL,0,1,0,0,1,1,Mensual,1,Cheque_electrónico,50.35,1098.85,0212-ISBBF,0,1.68
0,0,1,0,70,0,0,DSL,0,1,1,1,1,1,Anual_2,0,Transferencia,57.8,4039.3,0214-JHPFW,0,1.93
1,0,0,0,30,1,0,Fiber optic,1,1,1,0,0,0,Mensual,1,Tarjeta,84.3,2438.6,0215-BQKGS,0,2.81
1,0,1,1,71,1,1,Fiber optic,0,1,0,0,1,1,Anual_1,0,Transferencia,100.55,7113.75,0218-QNVAS,0,3.35
1,0,1,0,30,1,0,No,0,0,0,0,0,0,Anual_1,0,Tarjeta,19.8,576.65,0219-QAERP,0,0.66
1,0,1,1,4,1,1,Fiber optic,0,1,1,0,0,0,Mensual,1,Transferencia,84.8,371.9,0219-YTZUE,1,2.83
1,0,0,0,2,1,0,Fiber optic,0,0,1,0,0,1,Mensual,1,Cheque_electrónico,85.85,167.3,0220-EBGCE,1,2.86
1,0,0,1,10,1,0,No,0,0,0,0,0,0,Anual_1,1,Transferencia,19.95,219.5,0221-NAUXK,0,0.66
1,1,0,0,4,1,0,Fiber optic,1,0,0,0,0,0,Mensual,0,Cheque_electrónico,75.35,273.4,0221-WMXNQ,0,2.51
1,1,0,0,52,0,0,DSL,1,0,0,0,1,1,Mensual,1,Tarjeta,48.8,2555.05,0222-CNVPT,0,1.63
1,0,0,0,5,1,1,DSL,0,0,0,0,0,0,Mensual,0,Cheque_electrónico,47.15,223.15,0224-HJAPT,1,1.57
1,0,1,1,8,1,0,No,0,0,0,0,0,0,Anual_2,0,Cheque,20.15,165.5,0224-NIJLP,0,0.67
0,1,0,0,2,1,0,DSL,0,0,0,0,0,0,Mensual,1,Cheque_electrónico,44.3,89.3,0224-RLWWD,0,1.48
1,0,0,0,3,1,0,Fiber optic,0,1,0,0,0,1,Mensual,0,Cheque_electrónico,84.3,235.05,0225-ZORZP,0,2.81
1,0,0,0,19,1,1,DSL,0,0,1,1,0,0,Mensual,0,Cheque_electrónico,59.55,1144.6,0228-MAUWC,0,1.98
1,0,0,0,72,1,1,DSL,1,1,1,1,0,0,Anual_2,0,Transferencia,69.65,4908.25,0229-LFJAF,0,2.32
1,1,1,0,63,0,0,DSL,1,0,0,1,0,0,Anual_1,0,Transferencia,36.1,2298.9,0230-UBYPQ,0,1.2
1,0,1,0,66,0,0,DSL,1,1,1,1,1,0,Anual_2,1,Transferencia,56.6,3789.2,0230-WEQUW,0,1.89
1,0,0,0,1,1,0,Fiber optic,0,0,0,1,0,0,Mensual,1,Cheque_electrónico,75.9,75.9,0231-LXVAP,1,2.53
0,0,0,0,60,1,1,Fiber optic,0,0,1,0,0,0,Anual_1,1,Transferencia,79.2,4765.0,0233-FTHAV,0,2.64
0,0,1,1,48,0,0,DSL,1,0,1,0,0,1,Anual_1,0,Tarjeta,45.0,2196.3,0234-TEVTT,0,1.5
0,0,0,0,1,1,0,Fiber optic,0,0,1,0,1,0,Mensual,1,Tarjeta,85.55,85.55,0235-KGSLC,1,2.85
1,0,0,0,15,1,1,Fiber optic,0,0,0,0,1,1,Mensual,1,Cheque_electrónico,93.35,1444.65,0236-HFWSV,1,3.11
0,0,1,0,50,1,1,Fiber optic,1,1,0,1,1,1,Mensual,1,Transferencia,109.65,5405.8,0237-YFUTL,0,3.66
1,0,1,1,72,1,1,DSL,1,1,1,1,1,1,Anual_2,0,Tarjeta,89.7,6339.3,0238-WHBIQ,0,2.99
0,0,0,0,46,1,1,Fiber optic,1,1,0,0,0,0,Mensual,0,Cheque,84.25,3847.6,0239-OXEXL,0,2.81
0,0,1,1,72,1,1,DSL,1,1,1,1,1,1,Anual_2,0,Transferencia,92.65,6733.0,0244-LGNFY,0,3.09
1,0,1,1,1,1,0,No,0,0,0,0,0,0,Mensual,0,Cheque,19.7,19.7,0247-SLUJI,0,0.66
0,0,0,0,1,1,1,DSL,0,0,0,0,0,0,Mensual,1,Cheque_electrónico,50.1,50.1,0248-IPDFW,0,1.67
0,1,0,0,67,1,0,Fiber optic,1,1,0,1,1,0,Anual_2,1,Transferencia,92.45,6140.85,0248-PGHBZ,0,3.08
0,0,1,1,48,1,1,DSL,0,1,0,1,1,1,Anual_2,0,Cheque_electrónico,79.65,3870.3,0253-ZTEOB,0,2.66
0,0,0,0,72,1,0,Fiber optic,1,1,1,1,1,1,Anual_2,1,Cheque_electrónico,109.9,7624.2,0254-FNMCI,0,3.66
1,0,1,0,52,1,1,DSL,1,1,1,1,0,1,Anual_1,1,Tarjeta,81.4,4354.45,0254-KCJGT,0,2.71
0,0,1,1,67,1,0,DSL,0,1,0,0,0,0,Anual_1,0,Tarjeta,50.55,3431.75,0254-WWRKD,0,1.68
0,0,1,1,28,1,0,Fiber optic,0,0,0,0,0,1,Mensual,1,Cheque_electrónico,81.05,2227.1,0256-LTHVJ,1,2.7
0,0,1,1,32,1,1,DSL,0,1,1,0,0,0,Mensual,0,Transferencia,62.45,2045.55,0257-KXZGU,0,2.08
0,1,1,0,27,1,0,Fiber optic,1,0,0,0,0,0,Mensual,1,Transferencia,75.2,1929.35,0257-ZESQC,1,2.51
1,0,0,0,3,1,0,Fiber optic,0,1,1,0,0,1,Mensual,0,Cheque_electrónico,90.4,268.45,0258-NOKBL,0,3.01
1,0,0,0,2,1,1,Fiber optic,0,0,0,0,1,0,Mensual,1,Cheque_electrónico,85.65,181.5,0259-GBZSH,1,2.86
0,0,0,1,9,1,0,DSL,0,0,1,1,1,1,Mensual,1,Cheque,72.9,651.4,0260-ZDLGK,1,2.43
1,0,1,1,50,1,1,DSL,1,0,0,1,1,0,Anual_2,1,Tarjeta,70.5,3486.65,0263-FJTQO,0,2.35
0,0,1,1,71,1,0,No,0,0,0,0,0,0,Anual_2,0,Transferencia,20.1,1389.6,0264-CNITK,0,0.67
1,1,1,0,32,1,1,Fiber optic,0,0,0,0,0,0,Mensual,1,Cheque_electrónico,74.9,2303.35,0265-EDXBD,1,2.5
0,0,1,1,16,1,0,Fiber optic,1,0,1,0,1,1,Mensual,0,Transferencia,100.7,1522.7,0265-PSUAE,0,3.36
0,0,1,1,67,1,1,Fiber optic,0,0,1,1,1,1,Anual_2,1,Transferencia,105.65,6717.9,0266-CLZKZ,0,3.52
1,0,1,1,72,1,1,Fiber optic,1,1,1,1,1,1,Anual_2,1,Tarjeta,114.3,8058.55,0266-GMEAO,0,3.81
0,0,0,0,3,1,0,No,0,0,0,0,0,0,Mensual,0,Cheque_electrónico,19.75,58.85,0268-QKIWO,1,0.66
1,0,1,1,23,1,1,No,0,0,0,0,0,0,Anual_1,0,Cheque,24.35,538.5,0269-XFESX,0,0.81
1,0,1,1,72,1,1,DSL,1,1,1,1,0,0,Anual_2,0,Transferencia,69.85,5102.35,0270-THENM,0,2.33
1,0,1,1,7,0,0,DSL,1,1,1,0,1,1,Mensual,0,Cheque,58.85,465.7,0274-JKUJR,0,1.96
1,0,1,1,8,1,0,DSL,0,0,0,0,1,0,Mensual,1,Cheque_electrónico,54.4,475.1,0277-BKSQP,0,1.81
1,0,1,1,66,0,0,DSL,0,0,0,1,1,1,Anual_2,0,Transferencia,50.55,3364.55,0277-ORXQS,0,1.68
1,0,0,0,5,1,0,No,0,0,0,0,0,0,Mensual,0,Cheque,21.05,113.85,0278-YXOOG,1,0.7
1,0,0,0,49,1,1,Fiber optic,0,1,1,0,1,1,Mensual,1,Transferencia,103.7,5036.3,0280-XJGEX,1,3.46
1,0,1,0,63,1,0,No,0,0,0,0,0,0,Anual_2,1,Transferencia,19.95,1234.8,0281-CNTZX,0,0.66
0,1,1,1,12,0,0,DSL,0,0,0,1,0,0,Mensual,1,Cheque,29.3,355.9,0282-NVSJS,0,0.98
1,0,1,1,27,1,0,DSL,1,1,0,0,0,0,Mensual,1,Tarjeta,54.75,1510.3,0285-INHLN,0,1.82
0,0,0,0,35,1,0,DSL,1,1,1,0,0,0,Mensual,0,Cheque_electrónico,60.55,1982.6,0289-IVARM,0,2.02
0,0,1,1,54,1,1,DSL,0,1,1,1,1,1,Mensual,1,Cheque_electrónico,86.2,4524.05,0292-WEGCH,0,2.87
1,0,0,0,1,1,1,Fiber optic,0,0,0,0,1,1,Mensual,1,Cheque_electrónico,95.45,95.45,0295-PPHDO,1,3.18
1,0,0,0,5,1,0,DSL,0,0,1,1,1,0,Mensual,1,Tarjeta,63.95,318.1,0295-QVKPB,0,2.13
1,0,0,0,19,1,0,DSL,0,1,0,1,0,1,Anual_1,1,Transferencia,65.35,1231.85,0297-RBCSG,0,2.18
1,0,1,1,52,0,0,DSL,0,1,1,1,1,0,Anual_2,0,Cheque,50.2,2554.0,0298-XACET,0,1.67
0,0,1,1,72,0,0,DSL,1,1,1,1,1,1,Anual_2,1,Transferencia,63.8,4684.3,0301-FIDRB,0,2.13
1,0,0,0,32,1,0,No,0,0,0,0,0,0,Anual_2,1,Transferencia,20.05,614.45,0301-KOBTQ,0,0.67
0,0,1,0,8,1,0,Fiber optic,0,1,1,0,1,1,Mensual,0,Cheque_electrónico,101.15,842.9,0302-JOIVN,1,3.37
1,0,0,0,41,1,1,DSL,0,0,1,0,0,1,Anual_1,0,Cheque,65.0,2531.8,0303-UNCIP,0,2.17
1,0,0,0,5,1,0,No,0,0,0,0,0,0,Mensual,1,Cheque,19.25,86.05,0303-WMMRN,0,0.64
0,0,0,1,11,0,0,DSL,1,0,0,1,0,0,Anual_1,1,Cheque,36.05,402.6,0305-SQECB,0,1.2
1,0,0,0,5,1,0,Fiber optic,0,0,0,1,1,1,Mensual,1,Cheque_electrónico,96.1,453.4,0306-JAELE,1,3.2
0,0,0,0,16,1,0,No,0,0,0,0,0,0,Anual_1,0,Cheque,19.05,326.65,0307-BCOPK,0,0.64
1,1,0,0,71,1,1,Fiber optic,0,1,0,1,1,1,Anual_1,0,Transferencia,105.75,7382.85,0308-GIQJT,0,3.52
0,0,0,0,11,0,0,DSL,0,1,1,1,0,0,Anual_1,1,Tarjeta,40.4,422.6,0308-IVGOK,0,1.35
0,0,1,1,61,1,1,Fiber optic,0,1,0,0,1,1,Mensual,1,Cheque_electrónico,99.15,6010.05,0310-MVLET,1,3.3
0,0,1,0,71,1,0,DSL,1,1,1,1,1,1,Anual_1,1,Transferencia,84.8,6046.1,0310-SUCIN,0,2.83
